,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"132 W 138th St, New York, NY 10030, USA",40.8166821,-73.9415561,ROOFTOP,ChIJM3PEM3f2wokRhS7SxTpEzis,street_address,10030,"132 West 138th Street, Manhattan, NY",1,OK
1,"2309 Frederick Douglass Blvd, New York, NY 10027, USA",40.8096863,-73.9517817,ROOFTOP,ChIJERrCMxP2wokRi2KH_kyh-Ic,street_address,10027,"2309 Frederick Douglass Blvd, Manhattan, NY",1,OK
2,"140 Flatbush Ave, Brooklyn, NY 11217, USA",40.6836651,-73.9775871,ROOFTOP,ChIJv6MT3K1bwokRMHfTdWaiJQA,premise,11217,"140 Flatbush Avenue, Brooklyn, NY",1,OK
3,"57 Bay St, Staten Island, NY 10301, USA",40.6406139,-74.0754267,ROOFTOP,ChIJp9G_ldJPwokReg6-lTthtzc,premise,10301,"57 Bay Street, Staten Island, NY",1,OK
4,"Bay 32nd St, Brooklyn, NY 11214, USA",40.599333,-73.994107,GEOMETRIC_CENTER,ChIJRfpcAAhFwokRgykGF9vtCBE,route,11214,"Bay 32nd St & Falcon Ave, Far Rockaway, Queens, NY",2,OK
5,"215 W 125th St, New York, NY 10027, USA",40.8096896,-73.94888639999999,ROOFTOP,ChIJQzIOSm32wokRe0klT3besb4,premise,10027,"215 W 125th St, Manhattan, NY",1,OK
6,"Flatlands Ave & E 92nd St, Brooklyn, NY 11236, USA",40.6411404,-73.9046582,GEOMETRIC_CENTER,EjJGbGF0bGFuZHMgQXZlICYgRSA5Mm5kIFN0LCBCcm9va2x5biwgTlkgMTEyMzYsIFVTQSJmImQKFAoSCZt5xJbDXMKJER1wwt42PG-wEhQKEgmbecSWw1zCiREdcMLeNjxvsBoUChIJszlBVdtcwokRsZr_oifksVMaFAoSCQPFnInqXMKJEbKzAByIY1jeIgoNjFg5GBVKC_PT,intersection,11236,"E 92nd St at Flatlands Ave, Brooklyn, NY",1,OK
7,"257 Utica Ave, Brooklyn, NY 11213, USA",40.6698423,-73.9307437,ROOFTOP,ChIJeTwqc35cwokR-eub3LM81qg,premise,11213,"257 Utica Avenue, Brooklyn, NY",1,OK
8,"645 E Tremont Ave, Bronx, NY 10457, USA",40.8460887,-73.8918899,ROOFTOP,ChIJKURVK2L0wokR6jJDAGOH6wk,premise,10457,"645 E. Tremont Ave, Bronx, NY",1,OK
9,"3580 White Plains Rd, Bronx, NY 10467, USA",40.8789116,-73.8651613,ROOFTOP,ChIJwdoyKz7zwokR3FUmjJg4Hag,street_address,10467,"3580 White Plains Road, Bronx, NY",1,OK
10,"859 Hendrix St, Brooklyn, NY 11207, USA",40.6603264,-73.8840458,ROOFTOP,ChIJt34TxABdwokRuaRBTrVpems,premise,11207,"859 Hendrix Street, Brooklyn, NY",1,OK
11,"2265 3rd Ave, New York, NY 10035, USA",40.8024364,-73.9363954,ROOFTOP,ChIJaRAP_An2wokRCv6ZySCnBpM,premise,10035,"2265 3rd Avenue, Manhattan, NY",1,OK
12,"485 Throop Ave, Brooklyn, NY 11221, USA",40.6855549,-73.9411715,ROOFTOP,ChIJ6xkL74tbwokRno0875P-f50,premise,11221,"485 Throop Ave, Brooklyn, NY",1,OK
13,"80 Willoughby St, Brooklyn, NY 11201, USA",40.6919393,-73.98542979999999,ROOFTOP,ChIJE2vccEtawokREXM75Tyw98I,premise,11201,"80 Willoughby St, Brooklyn, NY",1,OK
14,"3002 Fort Hamilton Pkwy, Brooklyn, NY 11218, USA",40.6480768,-73.9785922,ROOFTOP,ChIJ7w13XiZbwokRD8d3Ks2BUn0,street_address,11218,"3002 Ft Hamilton Pkwy, Brooklyn, NY",1,OK
15,"40 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973547,-73.9855748,ROOFTOP,ChIJJSPKdDVawokRFIwLvZ8vmMo,street_address,11201,"40 Flatbush Ave Ext, Brooklyn, NY",1,OK
16,"650 Ashford St, Brooklyn, NY 11207, USA",40.6658962,-73.88338929999999,ROOFTOP,ChIJ2yX946tdwokRFg_4SiaMbmY,premise,11207,"650 Ashford St, Brooklyn, NY",1,OK
17,"E Fordham Rd, Bronx, NY, USA",40.8595729,-73.8874273,GEOMETRIC_CENTER,ChIJs7QbEoD0wokRlNDb7tgJSrw,route,,"E Fordham Rd & E Kingsbridge Rd, Bronx, NY",1,OK
18,"240 Food Center Dr, Bronx, NY 10474, USA",40.8113172,-73.8725893,ROOFTOP,ChIJZ5N1yRv1wokRcRj-mg2HM54,"establishment,food,point_of_interest",10474,"240 Food Center Drive (parking lot), Bronx, NY",1,OK
19,"Hylan Blvd & Satterlee St, Staten Island, NY 10307, USA",40.5027909,-74.2518454,GEOMETRIC_CENTER,EjdIeWxhbiBCbHZkICYgU2F0dGVybGVlIFN0LCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwNywgVVNBImYiZAoUChIJbY4lyJHKw4kR71M1AfsQI0wSFAoSCW2OJciRysOJEe9TNQH7ECNMGhQKEgk3L6DPvEvCiRFkUbg5JybFmRoUChIJw2FZQJDKw4kR73XKL3x8GRMiCg1FPCQYFUoRvtM,intersection,10307,"Corner of Saterlee Street and Hylan Blvd, Staten Island, NY",1,OK
20,"245 Greenwich St, New York, NY 10007, USA",40.71390780000001,-74.0113173,ROOFTOP,ChIJAaHQRRlawokR1HhgZ5Lw1lw,subpremise,10007,"245 Greenwich St (Corner of Park Place and Greenwich St), Manhattan, NY",1,OK
21,"5030 Broadway, New York, NY 10034, USA",40.8688715,-73.9166929,ROOFTOP,ChIJ26aKd_TzwokRxJ5T8tyXvvk,premise,10034,"5030 Broadway, Manhattan, NY",1,OK
22,"89-56 162nd St, Queens, NY 11432, USA",40.705073,-73.7983903,ROOFTOP,ChIJHYdW3N5gwokRgiyCRty_igs,premise,11432,"89-56 162nd Street, Queens, NY",1,OK
23,"2604 3rd Ave., Bronx, NY 10454, USA",40.811892,-73.92508,ROOFTOP,ChIJOULHRdv1wokRNdsfNrx5KQg,street_address,10454,"2604 3rd Avenue, Bronx, NY",1,OK
24,"839 Prospect Ave, Bronx, NY 10459, USA",40.8199807,-73.9019161,ROOFTOP,ChIJ2RmkYbL1wokRBdDGVUe2gcI,street_address,10459,"839 Prospect Ave, Bronx, NY",1,OK
25,"1260 60th St, Brooklyn, NY 11219, USA",40.6290915,-73.99922769999999,ROOFTOP,ChIJRWLKoDBFwokRpfkFuLkEGsM,street_address,11219,"1260 60th Street, Brooklyn, NY",1,OK
26,"Parking lot, 1278 60th St, Brooklyn, NY 11219, USA",40.6288984,-73.99925549999999,ROOFTOP,ChIJTffIpjBFwokRFj-6Asez0X0,premise,11219,"1278 60th Street, Brooklyn, NY",1,OK
27,"1912 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",40.8031965,-73.9531111,ROOFTOP,ChIJvWlnLhH2wokRjy56K-cnuXA,premise,10026,"1912 Adam Clayton Powell Jr Blvd, Manhattan, NY",1,OK
28,"8707 Flatlands Ave Floor 2, Brooklyn, NY 11236, USA",40.6391826,-73.908104,ROOFTOP,EjM4NzA3IEZsYXRsYW5kcyBBdmUgRmxvb3IgMiwgQnJvb2tseW4sIE5ZIDExMjM2LCBVU0EiIxohChYKFAoSCT0jO-vGXMKJEZ4vxJYk5M3vEgdGbG9vciAy,subpremise,11236,"8707 Flatlands Avenue, Floor 2, Brooklyn, NY",1,OK
29,"111th St & Ridgeland Ave, Worth, IL 60482, USA",41.6903211,-87.7792118,GEOMETRIC_CENTER,ChIJHdjD23w5DogRsJflsebDhnk,"establishment,point_of_interest,transit_station",60482,"Corner of 111th street & Lexington Ave, Manhattan, NY",1,OK
30,"41-60 Kissena Blvd, Queens, NY 11355, USA",40.7571065,-73.8281913,ROOFTOP,ChIJaTTFJBJgwokRwe6QrF8U4hI,premise,11355,"41-60 Kissena Blvd, Queens, NY",1,OK
31,"264 W 118th St, New York, NY 10026, USA",40.8052028,-73.9536622,ROOFTOP,ChIJPw_Jqhb2wokRzjwXaaTICMU,premise,10026,"264 W 118th St, Manhattan, NY",1,OK
32,"200-08 Murdock Ave, Jamaica, NY 11412, USA",40.699882,-73.754153,ROOFTOP,ChIJ0fQ7LFxhwokR5aqtMRLuh-4,street_address,11412,"200-08 Murdock Avenue, Queens, NY",1,OK
33,"Empire Blvd/Nostrand Av, Brooklyn, NY 11225, USA",40.663841,-73.950531,GEOMETRIC_CENTER,ChIJVe0EVXBbwokRR1T1ieaDpS8,"establishment,point_of_interest,transit_station",11225,"Nostrand Ave at Empire Blvd (b/t Empire and Montgomery St), Brooklyn, NY",1,OK
34,"242-25 Braddock Ave, Queens, NY 11426, USA",40.7262079,-73.72539789999999,ROOFTOP,ChIJO-qqyDdiwokRBXt4nL9K5tk,premise,11426,"242-25 Braddock Ave, Queens, NY",1,OK
35,"731 White Plains Rd, Bronx, NY 10473, USA",40.8202298,-73.8582283,ROOFTOP,ChIJPyxITtn0wokRxv1HaAV3gqk,premise,10473,"731 White Plains Road, Bronx, NY",1,OK
36,"38-20 Bell Blvd, Flushing, NY 11361, USA",40.76565009999999,-73.7726529,ROOFTOP,ChIJo7_MQHWKwokR7skIdRTuuI4,premise,11361,"3820 Bell Blvd, Queens, NY",1,OK
37,"672 Parkside Ave 2nd Floor, Brooklyn, NY 11226, USA",40.6561287,-73.95081689999999,ROOFTOP,ChIJIVGtKWlbwokRgFwF8FI2yXM,subpremise,11226,"672 Parkside Avenue, 2nd Floor, Brooklyn, NY",1,OK
38,"950 49th St, Brooklyn, NY 11219, USA",40.6395437,-74.0000297,ROOFTOP,ChIJB_EjusxawokRisr4QFaDHHs,street_address,11219,"950 49th Street, Brooklyn, NY",1,OK
39,"4802 10th Ave, Brooklyn, NY 11219, USA",40.639262,-73.9981537,ROOFTOP,ChIJTcuv2sxawokRPqwVixxx_Xs,premise,11219,"4802 10th Avenue, Brooklyn, NY",1,OK
40,"4006 3rd Ave., Bronx, NY 10457, USA",40.8420144,-73.8982913,ROOFTOP,ChIJv0K5g2f0wokRYaTNI2ar6go,premise,10457,"4006 3rd Avenue, Bronx, NY",1,OK
41,"140 58th St, Brooklyn, NY 11220, USA",40.6455001,-74.0239072,ROOFTOP,ChIJP5_ldqxawokRmmOy9KzKmA4,premise,11220,"140 58th Street, Brooklyn, NY",1,OK
42,"104-36 126th St, Jamaica, NY 11419, USA",40.687348,-73.8183169,ROOFTOP,ChIJ6ZVp_zVnwokRru9k_MewrSo,street_address,11419,"36-02 126th St, Cars enter through gate 11, Queens, NY",1,OK
43,"200-16 Hollis Ave, St. Albans, NY 11412, USA",40.7059459,-73.7569326,RANGE_INTERPOLATED,EiwyMDAtMTYgSG9sbGlzIEF2ZSwgU3QuIEFsYmFucywgTlkgMTE0MTIsIFVTQSIaEhgKFAoSCYXMalpmYcKJEe-sROiYTqACEBA,street_address,11412,"200-16 Hollis Avenue, Queens, NY",1,OK
44,"919 2nd Ave, New York, NY 10017, USA",40.754211,-73.9693705,ROOFTOP,ChIJjfp3lOJYwokRXCkLEl-awko,premise,10017,"919 2nd Avenue, Manhattan, NY",1,OK
45,"521 W 42nd St, New York, NY 10013, USA",40.7602335,-73.9964986,ROOFTOP,ChIJ2WzHvU1YwokRmuHTBDbSFjI,street_address,10013,"521 W 42nd Street, Manhattan, NY",1,OK
46,"151 Court St, Brooklyn, NY 11201, USA",40.6889697,-73.9924873,ROOFTOP,ChIJpfNnsE9awokROLiKM_GQBW8,premise,11201,"151 Court Street, Brooklyn, NY",1,OK
47,"177 Dyckman St, New York, NY 10040, USA",40.8643423,-73.9262813,ROOFTOP,ChIJsUvrlgf0wokRVOyDEtps1F0,street_address,10040,"177 Dyckman Street, Manhattan, NY",1,OK
48,"274 Knickerbocker Ave, Brooklyn, NY 11237, USA",40.7019817,-73.9244892,ROOFTOP,ChIJXWifqwRcwokRLQzd9VST5bk,premise,11237,"274 Knickerbocker Ave, Brooklyn, NY",1,OK
49,"1549 Broadway, Brooklyn, NY 11221, USA",40.6862965,-73.9161706,ROOFTOP,ChIJx6jB0hRcwokRUkVkyheFnSU,street_address,11221,"1549 Broadway, Brooklyn, NY",1,OK
50,"165 Graham Ave, Brooklyn, NY 11206, USA",40.7076658,-73.94354109999999,ROOFTOP,ChIJSQ9RtP1bwokRxMJHmAPG9UU,premise,11206,"165 Graham Ave, Brooklyn, NY",1,OK
51,"1 Fordham Plaza, Bronx, NY 10458, USA",40.8604502,-73.8898253,ROOFTOP,ChIJN6Pzi3_0wokRXqJzdmqUz6s,premise,10458,"1 Fordham Plaza, Bronx, NY",1,OK
52,"54-2854- Myrtle Ave, Ridgewood, NY 11385, USA",40.6996194,-73.9106584,RANGE_INTERPOLATED,Ei01NC0yODU0LSBNeXJ0bGUgQXZlLCBSaWRnZXdvb2QsIE5ZIDExMzg1LCBVU0EiGhIYChQKEgnFb-YvIlzCiRGeDn7YWfIGsBAc,street_address,11385,"54-28 Myrtle Avenue, Queens, NY",1,OK
53,"11910 Liberty Ave, South Richmond Hill, NY 11419, USA",40.6862812,-73.8235934,ROOFTOP,ChIJXwvCMElnwokRazDlXxO9HY8,premise,11419,"11910 Liberty Ave, Queens, NY",1,OK
54,"1700 Fulton St, Brooklyn, NY 11213, USA",40.678225,-73.9312059,GEOMETRIC_CENTER,ChIJsY9G4HlcwokRL3NiyDb7Zfc,premise,11213,"1700 Fulton Street, Brooklyn, NY",1,OK
55,"705 60th St, Brooklyn, NY 11220, USA",40.6367931,-74.0113423,ROOFTOP,ChIJBVxCk0tFwokRp9PlUGT_q1g,street_address,11220,"705 60th Street, Brooklyn, NY",1,OK
56,"70 W Burnside Ave, Bronx, NY 10453, USA",40.85430119999999,-73.9104006,ROOFTOP,ChIJJ6hOknL0wokRIFR32cFzFQY,premise,10453,"70 West Burnside Avenue, Bronx, NY",1,OK
57,"34-33 Junction Blvd, Jackson Heights, NY 11372, USA",40.7543866,-73.8720555,RANGE_INTERPOLATED,EjMzNC0zMyBKdW5jdGlvbiBCbHZkLCBKYWNrc29uIEhlaWdodHMsIE5ZIDExMzcyLCBVU0EiGhIYChQKEgmjt6gOvF_CiRFEYFUctGRvuBAh,street_address,11372,"34-33 Junction Boulevard, Queens, NY",1,OK
58,"1218 Prospect Pl, Brooklyn, NY 11213, USA",40.67332,-73.9358752,ROOFTOP,ChIJtY4qWX9cwokR7gQfKDuGPoM,premise,11213,"1218 Prospect Place, Brooklyn, NY",1,OK
59,"295 Flatbush Ave Ext 5th floor, Brooklyn, NY 11201, USA",40.6917556,-73.9820452,ROOFTOP,EjcyOTUgRmxhdGJ1c2ggQXZlIEV4dCA1dGggZmxvb3IsIEJyb29rbHluLCBOWSAxMTIwMSwgVVNBIiUaIwoWChQKEgkrFuO4tFvCiRFMV47txXF2SxIJNXRoIGZsb29y,subpremise,11201,"295 Flatbush Ave Ext., 5th floor, Brooklyn, NY",1,OK
60,"1309 Fulton Ave 3rd Floor, Bronx, NY 10456, USA",40.832732,-73.9033157,ROOFTOP,ChIJV3V7fkX0wokR1bHmqRpl3js,subpremise,10456,"1309 Fulton Avenue, 3rd floor, Bronx, NY",1,OK
61,"158 E 115th St, New York, NY 10029, USA",40.797615,-73.9419066,ROOFTOP,ChIJK19fcwb2wokR6-GxdtSiB88,premise,10029,"158 E 115th Street, Manhattan, NY",1,OK
62,"27 W 77th St, New York, NY 10024, USA",40.78065,-73.9739498,RANGE_INTERPOLATED,EiUyNyBXIDc3dGggU3QsIE5ldyBZb3JrLCBOWSAxMDAyNCwgVVNBIhoSGAoUChIJzYQbYI5YwokR3sPNSqnvyLEQGw,street_address,10024,"27 West 77th Street, Manhattan, NY",1,OK
63,"145 Brooklyn Ave, Brooklyn, NY 11213, USA",40.6744006,-73.9439728,ROOFTOP,ChIJh0Akl4NbwokRcSNrI1tQkjk,premise,11213,"145 Brooklyn Avenue, Brooklyn, NY",1,OK
64,"55 Richmond Terrace, Staten Island, NY 10301, USA",40.6441417,-74.07522569999999,ROOFTOP,ChIJs6K8ZtNPwokR3P4dDgakoyg,street_address,10301,"55 Richmond Terrace, Staten Island, NY",1,OK
65,"244b Broome St, New York, NY 10002, USA",40.7178818,-73.98905789999999,ROOFTOP,ChIJR3X1NIdZwokRC7YhTgUyATA,street_address,10002,"244B Broome Street, Manhattan, NY",1,OK
66,"1401 Flatbush Ave, Brooklyn, NY 11210, USA",40.6367904,-73.9513202,ROOFTOP,ChIJB0paKExbwokR98EkF7TSMJY,premise,11210,"1401 Flatbush Avenue, Brooklyn, NY",1,OK
67,"119 9th Ave, New York, NY 10011, USA",40.7433306,-74.0041055,ROOFTOP,ChIJWV4h07hZwokR4pVABowhahc,premise,10011,"119 9th Avenue, Manhattan, NY",1,OK
68,"203-05 32nd Ave, Flushing, NY 11361, USA",40.7709491,-73.7864633,ROOFTOP,ChIJHYE41nuKwokR4qqxxSZnruU,street_address,11361,"203-05 32nd Avenue, Queens, NY",1,OK
69,"5-17 46th Rd, Long Island City, NY 11101, USA",40.746735,-73.954627,ROOFTOP,ChIJRYJKWyFZwokRBqxncuFIqrg,street_address,11101,"5-17 46th Road, Queens, NY",1,OK
70,"92-24 Rockaway Blvd, Jamaica, NY 11417, USA",40.6808427,-73.84645499999999,ROOFTOP,ChIJi3HjGPRdwokRIa_57H8ZsJs,premise,11417,"92-24 Rockaway Boulevard, Queens, NY",1,OK
71,"1310 Granville Payne Ave, Brooklyn, NY 11239, USA",40.6487921,-73.88330189999999,ROOFTOP,ChIJIUZodxxdwokRbqXzftvQwUs,premise,11239,"1310 Pennsylvania Avenue, Brooklyn, NY",1,OK
72,"1300 Flushing Ave, Brooklyn, NY 11237, USA",40.7090807,-73.921886,ROOFTOP,ChIJU0C1radewokRLZhCrAVtcrM,premise,11237,"1300 Flushing Ave, Brooklyn, NY",1,OK
73,"506 Livonia Ave, Brooklyn, NY 11207, USA",40.6639783,-73.8985123,ROOFTOP,ChIJb8b_d_hcwokRKKQ7BHy88OI,street_address,11207,"506 Livonia Avenue, Brooklyn, NY",1,OK
74,"20 Times Sq, New York, NY 10036, USA",40.7593152,-73.9841855,ROOFTOP,ChIJCyhd6VVYwokRXfeduJY6ASA,street_address,10036,"20 Times Square, Manhattan, NY",1,OK
75,"1527 Jesup Ave, Bronx, NY 10452, USA",40.8440083,-73.9189894,ROOFTOP,ChIJcU3S-j30wokR2CIOR5Sx1wo,premise,10452,"1527 Jesup Avenue, Bronx, NY",1,OK
76,"1880 Pacific St, Brooklyn, NY 11233, USA",40.6761763,-73.9251705,ROOFTOP,ChIJU7ZG0HpcwokRZfHFIyszNxk,street_address,11233,"1880 Pacfic Street, Brooklyn, NY",1,OK
77,"1771 Broadway, Brooklyn, NY 11207, USA",40.682647,-73.909573,ROOFTOP,ChIJ8YByqkFcwokRlIvHSqn1tRA,street_address,11207,"1771 Broadway, Brooklyn, NY",1,OK
78,"58-56 92nd St, Queens, NY 11373, USA",40.7347342,-73.8696293,ROOFTOP,ChIJrxUpZfdfwokRAtF_bmDUheU,street_address,11373,"58-56 92nd Street, Queens, NY",1,OK
79,"2405 Amsterdam Ave, New York, NY 10033, USA",40.847041,-73.9313437,ROOFTOP,ChIJjw-3XB_0wokRP0QfojtbWC4,premise,10033,"2405 Amsterdam Ave, Manhattan, NY",1,OK
80,"1122 Chestnut Ave, Brooklyn, NY 11230, USA",40.6173686,-73.9628784,ROOFTOP,ChIJfw9XF8FEwokRpEwf86pgKXM,street_address,11230,"1122 Chestnut Avenue, Ground Floor, Brooklyn, NY",1,OK
81,"2381 Frederick Douglass Blvd, New York, NY 10027, USA",40.81210799999999,-73.950141,ROOFTOP,ChIJFcZ5B232wokRQbjRTuI_uu0,subpremise,10027,"2381 Frederick Douglass Boulevard, Manhattan, NY",1,OK
82,"212-32 48th Ave, Bayside, NY 11364, USA",40.7552875,-73.76830939999999,ROOFTOP,ChIJyT5fNeZhwokRPoKhHXtHlvM,subpremise,11364,"212-32 48th Ave, Queens, NY",1,OK
83,"327 Beach 19th St, Far Rockaway, NY 11691, USA",40.5985989,-73.7535776,ROOFTOP,ChIJu1UR-KtowokR-6JELffbhlk,street_address,11691,"327 Beach 19th Street, Queens, NY",1,OK
84,"97 Columbia Heights, Brooklyn, NY 11201, USA",40.6998062,-73.99551629999999,ROOFTOP,ChIJ_3sTLDhawokR-Q88gUrrV-c,street_address,11201,"97 Columbia Heights, Brooklyn, NY",1,OK
85,"194 Franklin Ave, Brooklyn, NY 11205, USA",40.6920594,-73.9578409,GEOMETRIC_CENTER,ChIJuY40SpVbwokRJJtnDE8FQjg,premise,11205,"194 Franklin Ave, Brooklyn, NY",1,OK
86,"Baychester Ave, Bronx, NY, USA",40.881653,-73.8389591,GEOMETRIC_CENTER,ChIJy_GAjc2MwokR0nMNneO_Viw,route,,"Baychester Ave & Crawford Ave, Bronx, NY 10466, Bronx, NY",3,OK
87,"Robard Ln, Queens, NY 11429, USA",40.7103092,-73.7396045,GEOMETRIC_CENTER,ChIJr84TgtBjwokRxaHkO2--B2I,route,11429,"Robard Lane & Hollis Ave, Queens, NY",1,OK
88,"2414-18 Church Ave, Brooklyn, NY 11226, USA",40.6504688,-73.95547599999999,ROOFTOP,ChIJDQm3o0FbwokRa6W3_m_3kEU,subpremise,11226,"2414-18 Church Avenue, Brooklyn, NY",1,OK
89,"6390 Amboy Rd, Staten Island, NY 10309, USA",40.52222,-74.21575399999999,ROOFTOP,ChIJj0bb7rJKwokR4YAMZJPK1No,street_address,10309,"6390 Amboy Road, Staten Island, NY",1,OK
90,"985 Rockaway Ave, Brooklyn, NY 11212, USA",40.6558268,-73.9066342,ROOFTOP,ChIJidHiHfJcwokRVMmG86rpeTM,premise,11212,"985 Rockaway Ave, Brooklyn, NY",1,OK
91,"260 E 188th St, Bronx, NY 10458, USA",40.8606063,-73.8960238,ROOFTOP,ChIJPQ2ppXj0wokRXXATU9nqiFw,premise,10458,"260 East 188th Street, Bronx, NY",1,OK
92,"2021 Grand Concourse, Bronx, NY 10453, USA",40.8519804,-73.904539,ROOFTOP,ChIJI7j9JG70wokRKGwuGa2Ppko,premise,10453,"2021 Grand Concourse, Bronx, NY",1,OK
93,"Bergen St & Buffalo Ave, Brooklyn, NY 11233, USA",40.6747424,-73.9249948,GEOMETRIC_CENTER,EjBCZXJnZW4gU3QgJiBCdWZmYWxvIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjMzLCBVU0EiZiJkChQKEgnbNoUle1zCiRGs_2JBrC3IAhIUChIJ2zaFJXtcwokRrP9iQawtyAIaFAoSCdMniIaaW8KJEaeWl-oPu7j-GhQKEgkBFhSkfFzCiRGO2MsHaF1cHCIKDSB5PhgV5PDv0w,intersection,11233,"Buffalo Ave and Bergen St, Brooklyn, NY",1,OK
94,"466 Rutland Rd, Brooklyn, NY 11203, USA",40.6593102,-73.9446616,ROOFTOP,ChIJq8JS4GRbwokRNFTn7TvWYvk,premise,11203,"466 Rutland Rd, Brooklyn, NY",1,OK
95,"545 E 142nd St, Bronx, NY 10454, USA",40.8104385,-73.9159236,ROOFTOP,ChIJ3fVd2sb1wokR-RH9Txd9Jh8,premise,10454,"545 East 142nd Street, Bronx, NY",1,OK
96,"100 N Portland Ave, Brooklyn, NY 11205, USA",40.695099,-73.9764879,ROOFTOP,ChIJv9E6_MlbwokR5DO2conEwAY,premise,11205,"100 North Portland Avenue, Brooklyn, NY",1,OK
97,"2094 Pitkin Ave, Brooklyn, NY 11207, USA",40.671746,-73.8952429,ROOFTOP,ChIJl8zljlFcwokRr5awHmxJzSg,premise,11207,"2094 Pitkin Avenue, Brooklyn, NY",1,OK
98,"227 Madison St, Manhattan, NY 10002, USA",40.7131148,-73.9877376,ROOFTOP,ChIJbSpPzytawokR3NfreNE8Hgc,premise,10002,"227 Madison Street, Manhattan, NY",1,OK
99,"1225 Gerard Ave, Bronx, NY 10452, USA",40.8362867,-73.9202294,ROOFTOP,ChIJ5_fT_lL1wokRkW0AIydGFn4,"doctor,establishment,health,hospital,point_of_interest",10452,"1225 Gerard Avenue, 2nd Floor Room 2B01, Bronx, NY",1,OK
100,"264 W 118th St, New York, NY 10026, USA",40.8052028,-73.9536622,ROOFTOP,ChIJPw_Jqhb2wokRzjwXaaTICMU,premise,10026,"264 West 118th Street, Manhattan, NY",1,OK
101,"165 Vanderbilt Ave 2nd Floor, Staten Island, NY 10304, USA",40.6203745,-74.0768895,ROOFTOP,EjoxNjUgVmFuZGVyYmlsdCBBdmUgMm5kIEZsb29yLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwNCwgVVNBIiUaIwoWChQKEgl5yuyssk_CiRFy-b5iywTNwxIJMm5kIEZsb29y,subpremise,10304,"165 Vanderbilt Avenue, 2nd Floor, Staten Island, NY",1,OK
102,"462 1st Ave., New York, NY 10016, USA",40.7397258,-73.976201,ROOFTOP,ChIJQ7zqT0tZwokRh2mZyfOQ3EA,street_address,10016,"462 1st Avenue, Manhattan, NY",1,OK
103,"2601 Ocean Pkwy, Brooklyn, NY 11235, USA",40.5855566,-73.9648753,ROOFTOP,ChIJDam9plxEwokRd6LyZj8xQFI,"establishment,health,hospital,point_of_interest",11235,"2601 Ocean Parkway, Main building, 2nd floor conference room, Brooklyn, NY",1,OK
104,"79-01 Broadway, Queens, NY 11373, USA",40.7450814,-73.8857797,ROOFTOP,ChIJsWw8sKtfwokRPDXaqZcYdMg,premise,11373,"79-01 Broadway, Queens, NY",1,OK
105,"506 Lenox Ave, New York, NY 10037, USA",40.8142287,-73.9396101,ROOFTOP,ChIJHQA-knb2wokRfBq4XadP6hc,premise,10037,"506 Lenox Avenue, Manhattan, NY",1,OK
106,"1400 Pelham Pkwy S, Bronx, NY 10461, USA",40.8550347,-73.8442026,ROOFTOP,ChIJ25wNDVXzwokRBTC8zrMN1Zs,premise,10461,"1400 Pelham Parkway South, Bronx, NY",1,OK
107,"""B"" building, 451 Clarkson Ave, Brooklyn, NY 11203, USA",40.6568816,-73.94470749999999,ROOFTOP,ChIJm7bHNmRbwokRRCj1-E0Jg7M,premise,11203,"451 Clarkson Avenue, Brooklyn, NY",1,OK
108,"234 E 149th St, Bronx, NY 10451, USA",40.8160855,-73.9247762,ROOFTOP,ChIJDeh_G9D1wokRkO7ws-0760o,premise,10451,"234 East 149th Street,Room 2A5-250, Bronx, NY",1,OK
109,"1901 1st Ave. #4a, New York, NY 10029, USA",40.7852328,-73.94502899999999,ROOFTOP,EioxOTAxIDFzdCBBdmUuICM0YSwgTmV3IFlvcmssIE5ZIDEwMDI5LCBVU0EiHhocChYKFAoSCSsEKN-oWMKJETr9FYEsw4TrEgI0YQ,subpremise,10029,"1901 1st Avenue, 4A, Manhattan, NY",1,OK
110,"3424 Kossuth Ave, Bronx, NY 10467, USA",40.8804138,-73.8810488,GEOMETRIC_CENTER,ChIJwTY17gzzwokRFzf2GqCK7nk,premise,10467,"3424 Kossuth Avenue, Bronx, NY",1,OK
111,"82-68 164th St, Jamaica, NY 11432, USA",40.7186426,-73.8041807,ROOFTOP,ChIJ80CvI-VgwokRcV1WrzFcs_w,premise,11432,"82-68 164th Street, Queens, NY",1,OK
112,"760 Broadway, Brooklyn, NY 11206, USA",40.7000538,-73.9417768,ROOFTOP,ChIJ9bkd__lbwokRo-li4oDgaik,premise,11206,"760 Broadway, Brooklyn, NY",1,OK
113,"1920 Webster Ave 1st Floor, Bronx, NY 10457, USA",40.8477768,-73.9005135,ROOFTOP,EjAxOTIwIFdlYnN0ZXIgQXZlIDFzdCBGbG9vciwgQnJvbngsIE5ZIDEwNDU3LCBVU0EiJRojChYKFAoSCRnE7PNl9MKJEfiVO74StXUqEgkxc3QgRmxvb3I,subpremise,10457,"1920 Webster Avenue, 1st Floor, Bronx, NY",1,OK
