,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
1050,"1545 Atlantic Ave, Brooklyn, NY 11213, USA",40.6783744,-73.93740749999999,ROOFTOP,ChIJoz_M64dbwokRHhEMlGgOzWk,premise,11213,"1545 Atlantic Avenue, Private Practice Suite, Brooklyn, NY",1,OK
1051,"1175 Park Ave, New York, NY 10128, USA",40.7842723,-73.9535933,ROOFTOP,ChIJaT-yiqNYwokRjvp4owhikzo,premise,10128,"1175 Park Avenue, Manhattan, NY",1,OK
1052,"88-23 178th St, Jamaica, NY 11432, USA",40.710939,-73.784502,ROOFTOP,ChIJi7BF6xlhwokRXMU2LUE0NeU,street_address,11432,"88-23 178th Street, Queens, NY",1,OK
1053,"227 E 41st St 8th floor, New York, NY 10017, USA",40.7496813,-73.973524,ROOFTOP,ChIJbbNJorNZwokRUu_Kjxucm9w,"doctor,establishment,health,point_of_interest",10017,"227 E 41st St 8th, 8th floor, Manhattan, NY",1,OK
1054,"1711 Ralph Ave, Brooklyn, NY 11236, USA",40.6352753,-73.91866790000002,ROOFTOP,ChIJ_x_f0LBcwokRRGjVyBJpQT0,street_address,11236,"1711 Ralph Avenue, Brooklyn, NY",1,OK
1055,"31-47 137th Street # Cf, Queens, NY 11354, USA",40.7681985,-73.83081179999999,GEOMETRIC_CENTER,ChIJGXLs5uxhwokRKmEN_EgPnsg,"doctor,establishment,health,point_of_interest",11354,"31-47 137th Street, Suite CF, Queens, NY",1,OK
1056,"45-02 82nd St, Queens, NY 11373, USA",40.741448,-73.883206,ROOFTOP,ChIJt6OQV6tfwokReLduNVmTVso,street_address,11373,"45-02 82nd Street, Queens, NY",1,OK
1057,"87-35 Britton Ave, Jackson Heights, NY 11372, USA",40.7479676,-73.8789773,ROOFTOP,ChIJGV20s69fwokREQaPMXY4a3s,premise,11372,"87-35 Britton Ave, Queens, NY",1,OK
1058,"36-36 Main St, Flushing, NY 11354, USA",40.7621903,-73.831754,ROOFTOP,ChIJ3_LzlA9gwokRX6lpBdMq3J0,premise,11354,"36-36 Main Street, Queens, NY",1,OK
1059,"754 E 151st St 2nd Floor, Bronx, NY 10455, USA",40.8146303,-73.90727729999999,ROOFTOP,Ei43NTQgRSAxNTFzdCBTdCAybmQgRmxvb3IsIEJyb254LCBOWSAxMDQ1NSwgVVNBIiUaIwoWChQKEgmrLeRHt_XCiRGuGGJE1-WInBIJMm5kIEZsb29y,subpremise,10455,"754 East 151st Street, 2nd Floor, Bronx, NY",1,OK
1060,"395 Fort Washington Ave Suite 6, New York, NY 10033, USA",40.848369,-73.939484,ROOFTOP,ChIJ7V-sz6H2wokRx-LA_9BOr3k,subpremise,10033,"395 Fort Washington Ave, Suite 6, Manhattan, NY",1,OK
1061,"59-10 Junction Blvd, Queens, NY 11373, USA",40.73467309999999,-73.86537899999999,ROOFTOP,ChIJ49m8ijVewokRwqbOjb0q_Lw,premise,11373,"59-10 Junction Blvd, Queens, NY",1,OK
1062,"139 Centre St Suite 515, New York, NY 10013, USA",40.7175205,-74.00081449999999,ROOFTOP,ChIJXZOwAIpZwokR8UJgFxMd9hc,"doctor,establishment,health,point_of_interest",10013,"139 Centre Street, 515, Manhattan, NY",1,OK
1063,"恒豐大廈, 5816 Fort Hamilton Pkwy #2a, Brooklyn, NY 11219, USA",40.6338342,-74.0049059,ROOFTOP,EkLmgZLosZDlpKflu4gsIDU4MTYgRm9ydCBIYW1pbHRvbiBQa3d5ICMyYSwgQnJvb2tseW4sIE5ZIDExMjE5LCBVU0EiHhocChYKFAoSCa9bBG02RcKJEeQ7BuRykkSeEgIyYQ,subpremise,11219,"5816 Fort Hamilton Pkwy, 2A, Brooklyn, NY",1,OK
1064,"13636 39th Ave #2, Flushing, NY 11354, USA",40.7603374,-73.8291797,ROOFTOP,ChIJ6SYuMxBgwokR5e4zKb0zmSQ,subpremise,11354,"136-36 39th Avenue, Suite 2, Queens, NY",1,OK
